identifier,Name,Description,CRM Path,Description
physical information carrier_107_conservation_event_-_type,Conservation Event - Type,This field is used to record the type of conservation event performed on the documented physical information carrier.,--> P31i --> E11[107_1] --> P2 --> E55[107_2],This field is used to record the type of conservation event performed on the documented physical object.
physical information carrier_108_conservation_event_-_earliest,Conservation Event - Earliest,This field is used to record the earliest date for a conservation event performed on the documented physical information carrier.,--> P31i --> E11[107_1] --> P4 --> E52[108_1] --> P82a --> xsd:dateTime,This field is used to record the earliest date for a conservation event performed on the documented physical object.
physical information carrier_109_conservation_event_-_latest,Conservation Event - Latest,This field is used to record the latest date for a conservation event performed on the documented physical information carrier.,--> P31i --> E11[107_1] --> P4 --> E52[108_1] --> P82b --> xsd:dateTime,This field is used to record the latest date for a conservation event performed on the documented physical object.
physical information carrier_110_conservation_event_-_technique,Conservation Event - technique,This field is used to record the technique used in the conservation event performed on the documented physical information carrier.,--> P31i --> E11[107_1] --> P32 --> E55[110_1],This field is used to record the technique used in the conservation event performed on the documented object.
physical information carrier_111_conservator,Conservator,This field is used to record the actor that  carried out the conservation event performed on the documented physical information carrier.,--> P31i --> E11[107_1] --> P14 --> E21[111_1],This field is used to record the actor that  carried out the conservation event performed on the documented object.
physical information carrier_112_conservation_event_description,Conservation Event Description,This field used to record a description in free text format related to the conservation event performed on the documented artwork.,--> P31i --> E11[107_1] --> P129i --> E33[112_1],This field used to record a description in free text format related to the conservation event performed on the documented artwork.
physical information carrier_113_past_ownership_period_statement_-_earliest_date_of_taking_of_possession,Past Ownership Period Statement - Earliest date of taking of Possession,This field is used to record the earliest possible date for taking possession of the documented physical information carrier by some actor.,--> P24i --> E8[113_1] --> P4 --> E52[113_2] --> P82a --> xsd:dateTime,This field is used to record the earliest possible date for taking possession of the documented object by some actor.
physical information carrier_114_past_ownership_period_statement_-_latest_date_of_taking_of_possession,Past Ownership Period Statement - Latest Date of taking of Possession,This field is used to record the latest possible date for taking possession of the documented physical information carrier by some actor.,--> P24i --> E8[113_1] --> P4 --> E52[113_2] --> P82b --> xsd:dateTime,This field is used to record the latest possible date for taking possession of the documented object by some actor.
physical information carrier_115_past_ownership_period_statement_-_actor_obtaining_ownership,Past Ownership Period Statement - Actor Obtaining Ownership,This field is used to record the actor taking possession of the documented physical information carrier.,--> P24i --> E8[113_1] --> P22 --> E39[115_1],This field is used to record the actor taking possession of the documented object.
physical information carrier_116_past_ownership_period_statement_-_earliest_ceding_of_possession,Past Ownership Period Statement - Earliest Ceding of Possession,This field is used to record the earliest possible date for ceding of possession of the documented physical information carrier by some actor.,--> P24i --> E8[113_1] --> P115i --> E8[116_1] --> P4 --> E52[116_2] --> P82a --> xsd:dateTime,This field is used to record the earliest possible date for ceding of possession of the documented object by some actor.
physical information carrier_117_past_ownership_period_statement_-_latest_ceding_of_possession,Past Ownership Period Statement - Latest Ceding of Possession,This field is used to record the latest possible date for ceding of possession of the documented physical information carrier by some actor.,--> P24i --> E8[113_1] --> P115i --> E8[116_1] --> P4 --> E52[116_2] --> P82b --> xsd:dateTime,This field is used to record the latest possible date for ceding of possession of the documented object by some actor.
physical information carrier_118_past_ownership_period_statement_-_actor_ceding_ownership,Past Ownership Period Statement - Actor Ceding Ownership,This field is used to record the actor who has ceded possession of the documented physical information carrier.,--> P24i --> E8[116_1] --> P23 --> E39[118_1],This field is used to record the actor who has ceded possession of the documented object.
physical information carrier_119_past_ownership_description,Past Ownership Description,This field used is used to record a description in free text related to an ownership period for the documented physical information carrier.,--> P24i --> E8[113_1] --> P129i --> E33[119_1],This field used is used to record a description in free text related to an ownership period for the documented object.
physical information carrier_255_condition_state_type,Condition State Type,This field is used to indicate a condition state type that has been attributed to the documented physical information carrier.,--> P44 --> E3[255_1] --> P2 --> E55[255_2],This field is used to indicate a condition state type that has been attributed to the documented object.
physical information carrier_256_condition_assessment_assigned_by,Condition Assessment Assigned By,This field is used to indicate the actor who attributed the condition state type to the documented physical information carrier.,--> P44 --> E3[255_1] --> P34i --> E14[256_1] --> P14 --> E39[256_2],This field is used to indicate the actor who attributed the condition state type to the documented object.
physical information carrier_257_condition_assessment_description,Condition Assessment Description,This field is used to describe the attributed condition of the physical object,--> P44 --> E3[255_1] --> P67i --> E33[257_1],This field is used to describe the attributed condition of the physical object
physical information carrier_258_condition_assessment_date_earliest,Condition Assessment Date Earliest,This field is used to record the earliest possible date for the condition assessment of the documented physical information carrier.,--> P44 --> E3[255_1] --> P34i --> E14[256_1] --> P4 --> E52[258_1] --> P82a --> xsd:dateTime,This field is used to record the earliest possible date for the condition assessment of the documented object.
physical information carrier_259_condition_assessment_date_latest,Condition Assessment Date Latest,This field is used to record the latest possible date for the condition assessment of the documented physical information carrier.,--> P44 --> E3[255_1] --> P34i --> E14[256_1] --> P4 --> E52[258_1] --> P82b --> xsd:dateTime,This field is used to record the latest possible date for the condition assessment of the documented object.
physical information carrier_268_object_use_event_user,Object Use Event User,This field is used to indicate the actor using a specific object or collection,--> P16i --> E7[268_1] --> P14 --> E39[268_2],This field is used to indicate the actor using a specific object or collection
physical information carrier_269_object_use_event_type,Object Use Event Type,This field is used to indicate the type of use to which the documented physical information carrier was put in the context of a use event.,--> P16i --> E7[268_1] --> P2 --> E55[269_1],This field is used to indicate the type of use to which the documented object was put in the context of a use event.
physical information carrier_270_object_use_event_time_earliest,Object Use Event Time Earliest,This field is used to record the earliest possible date for the use event of the documented physical information carrier.,--> P16i --> E7[268_1] --> P4 --> E52[270_1] --> P82a --> xsd:dateTime,This field is used to record the earliest possible date for the use event of the documented object.
physical information carrier_271_object_use_event_time_latest,Object Use Event Time Latest,This field is used to record the latest possible date for the use event of the documented physical information carrier.,--> P16i --> E7[268_1] --> P4 --> E52[270_1] --> P82b --> xsd:dateTime,This field is used to record the latest possible date for the use event of the documented object.
physical information carrier_272_object_use_purpose,Object Use Purpose,This field is used to indicate the general purpose of the use event in which the document object was used.,--> P16i --> E7[268_1] --> P32 --> E55[272_1],This field is used to indicate the general purpose of the use event in which the document object was used.
